Id,Pricebook2Id,Pricebook2.Name,Product2Id,Product2.Name,UnitPrice,UseStandardPrice,IsActive,aforza__Cost__c,aforza__Floor_Price__c,aforza__Sales_Commission_Percent__c,aforza__Tax_Percent__c,Name,Product2.StockKeepingUnit
01u2z0000034D1qAAE,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCtAAAU,2L KA FRUIT PUNCH 1.79 RS,6.56,false,true,0,,0,20,2L KA FRUIT PUNCH 1.79 RS,
01u2z0000034D1rAAE,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCtCAAU,2L KA STRAWBERRY 1.79 RS,6.56,false,true,0,,0,20,2L KA STRAWBERRY 1.79 RS,
01u2z0000034D1sAAE,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCtFAAU,2L KA KOLA 1.79 RS,6.56,false,true,0,,0,20,2L KA KOLA 1.79 RS,
01u2z0000034D1tAAE,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCtGAAU,2L KA PINEAPPLE 1.79 RS,6.56,false,true,0,,0,20,2L KA PINEAPPLE 1.79 RS,
01u2z0000034D1uAAE,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCpYAAU,330ML SUN EX PINECO 59P/6.49RS,6.36,false,true,0,,0,20,330ML SUN EX PINECO 59P/6.49RS,
01u2z000003FNULAA4,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCqXAAU,500ML IRN-BRU RS 99P,4,false,true,,,0,20,500ML IRN-BRU RS 99P,
01u2z0000034M3mAAE,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCrkAAE,1L IRN-BRU RS,23,false,true,,,0,,1L IRN-BRU RS,
01u2z0000034D54AAE,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCt9AAE,2L IRN-BRU XTRA,10.1,false,true,0,,0,20,2L IRN-BRU XTRA,
01u2z0000034D55AAE,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCtJAAU,330ML SAN BEN LIMONE,9.8,false,true,0,,0,20,330ML SAN BEN LIMONE,
01u2z0000034D56AAE,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCtKAAU,330ML SAN BEN CLEMENTINA,9.8,false,true,0,,0,20,330ML SAN BEN CLEMENTINA,
01u2z0000034D57AAE,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCtLAAU,330ML IRN-BRU NRGB,15.23,false,true,0,,0,20,330ML IRN-BRU NRGB,
01u2z0000034D58AAE,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCtNAAU,330MLX24 SF IRN-BRU GLASS,15.23,false,true,0,,0,20,330MLX24 SF IRN-BRU GLASS,
01u2z0000034D59AAE,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCtcAAE,750ML S/MORE STL NRGB,9.49,false,true,0,,0,20,750ML S/MORE STL NRGB,
01u2z0000034D5AAAU,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCtdAAE,750ML S/MORE SPK NRGB,9.49,false,true,0,,0,20,750ML S/MORE SPK NRGB,
01u2z0000034D5BAAU,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCrQAAU,500MLX12 IRN-BRU XTRA CAN,5.17,false,true,0,,0,20,500MLX12 IRN-BRU XTRA CAN,
01u2z0000034D5CAAU,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCoHAAU,330ML KA CITRUS PUNCH 79P,8.32,false,true,0,,0,20,330ML KA CITRUS PUNCH 79P,
01u2z0000034D5DAAU,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCoTAAU,330ML KA STRAWBERRY SODA 79P,8.32,false,true,0,,0,20,330ML KA STRAWBERRY SODA 79P,
01u2z0000034D5EAAU,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCoSAAU,330ML KA TROPICAL KRUSH 79P,8.32,false,true,0,,0,20,330ML KA TROPICAL KRUSH 79P,
01u2z0000034D5FAAU,01s8d0000052c0sAAA,Standard Price Book,01t2z000001oCqKAAU,288ML SUN EX TROPICAL 59P,6.36,false,true,0,,0,20,288ML SUN EX TROPICAL 59P,
